x,y,theta
-2.36,-0.06,0.0
-2.36,-0.01,0.0
-2.36,0.04,0.0
-2.31,-0.16,0.0
-2.31,-0.11,0.0
-2.31,-0.06,0.0
-2.31,-0.01,0.0
-2.31,0.04,0.0
-2.31,0.09,0.0
-2.31,0.14,0.0
-2.31,0.19,0.0
-2.26,-0.31,0.0
-2.26,-0.26,0.0
-2.26,-0.21,0.0
-2.26,-0.16,0.0
-2.26,-0.11,0.0
-2.26,-0.06,0.0
-2.26,-0.01,0.0
-2.26,0.04,0.0
-2.26,0.09,0.0
-2.26,0.14,0.0
-2.26,0.19,0.0
-2.26,0.24,0.0
-2.26,0.29,0.0
-2.21,-0.41,0.0
-2.21,-0.36,0.0
-2.21,-0.31,0.0
-2.21,-0.26,0.0
-2.21,-0.21,0.0
-2.21,-0.16,0.0
-2.21,-0.11,0.0
-2.21,-0.06,0.0
-2.21,-0.01,0.0
-2.21,0.04,0.0
-2.21,0.09,0.0
-2.21,0.14,0.0
-2.21,0.19,0.0
-2.21,0.24,0.0
-2.21,0.29,0.0
-2.21,0.34,0.0
-2.21,0.39,0.0
-2.21,0.44,0.0
-2.16,-0.56,0.0
-2.16,-0.51,0.0
-2.16,-0.46,0.0
-2.16,-0.41,0.0
-2.16,-0.36,0.0
-2.16,-0.31,0.0
-2.16,-0.26,0.0
-2.16,-0.21,0.0
-2.16,-0.16,0.0
-2.16,-0.11,0.0
-2.16,-0.06,0.0
-2.16,-0.01,0.0
-2.16,0.04,0.0
-2.16,0.09,0.0
-2.16,0.14,0.0
-2.16,0.19,0.0
-2.16,0.24,0.0
-2.16,0.29,0.0
-2.16,0.34,0.0
-2.16,0.39,0.0
-2.16,0.44,0.0
-2.16,0.49,0.0
-2.16,0.54,0.0
-2.11,-0.66,0.0
-2.11,-0.61,0.0
-2.11,-0.56,0.0
-2.11,-0.51,0.0
-2.11,-0.46,0.0
-2.11,-0.41,0.0
-2.11,-0.36,0.0
-2.11,-0.31,0.0
-2.11,-0.26,0.0
-2.11,-0.21,0.0
-2.11,-0.16,0.0
-2.11,-0.11,0.0
-2.11,-0.06,0.0
-2.11,-0.01,0.0
-2.11,0.04,0.0
-2.11,0.09,0.0
-2.11,0.14,0.0
-2.11,0.19,0.0
-2.11,0.24,0.0
-2.11,0.29,0.0
-2.11,0.34,0.0
-2.11,0.39,0.0
-2.11,0.44,0.0
-2.11,0.49,0.0
-2.11,0.54,0.0
-2.11,0.59,0.0
-2.11,0.64,0.0
-2.11,0.69,0.0
-2.06,-0.81,0.0
-2.06,-0.76,0.0
-2.06,-0.71,0.0
-2.06,-0.66,0.0
-2.06,-0.61,0.0
-2.06,-0.56,0.0
-2.06,-0.51,0.0
-2.06,-0.46,0.0
-2.06,-0.41,0.0
-2.06,-0.36,0.0
-2.06,-0.31,0.0
-2.06,-0.26,0.0
-2.06,-0.21,0.0
-2.06,-0.16,0.0
-2.06,-0.11,0.0
-2.06,-0.06,0.0
-2.06,-0.01,0.0
-2.06,0.04,0.0
-2.06,0.09,0.0
-2.06,0.14,0.0
-2.06,0.19,0.0
-2.06,0.24,0.0
-2.06,0.29,0.0
-2.06,0.34,0.0
-2.06,0.39,0.0
-2.06,0.44,0.0
-2.06,0.49,0.0
-2.06,0.54,0.0
-2.06,0.59,0.0
-2.06,0.64,0.0
-2.06,0.69,0.0
-2.06,0.74,0.0
-2.06,0.79,0.0
-2.01,-0.91,0.0
-2.01,-0.86,0.0
-2.01,-0.81,0.0
-2.01,-0.76,0.0
-2.01,-0.71,0.0
-2.01,-0.66,0.0
-2.01,-0.61,0.0
-2.01,-0.56,0.0
-2.01,-0.51,0.0
-2.01,-0.46,0.0
-2.01,-0.41,0.0
-2.01,-0.36,0.0
-2.01,-0.31,0.0
-2.01,-0.26,0.0
-2.01,-0.21,0.0
-2.01,-0.16,0.0
-2.01,-0.11,0.0
-2.01,-0.06,0.0
-2.01,-0.01,0.0
-2.01,0.04,0.0
-2.01,0.09,0.0
-2.01,0.14,0.0
-2.01,0.19,0.0
-2.01,0.24,0.0
-2.01,0.29,0.0
-2.01,0.34,0.0
-2.01,0.39,0.0
-2.01,0.44,0.0
-2.01,0.49,0.0
-2.01,0.54,0.0
-2.01,0.59,0.0
-2.01,0.64,0.0
-2.01,0.69,0.0
-2.01,0.74,0.0
-2.01,0.79,0.0
-2.01,0.84,0.0
-2.01,0.89,0.0
-1.96,-1.01,0.0
-1.96,-0.96,0.0
-1.96,-0.91,0.0
-1.96,-0.86,0.0
-1.96,-0.81,0.0
-1.96,-0.76,0.0
-1.96,-0.71,0.0
-1.96,-0.66,0.0
-1.96,-0.61,0.0
-1.96,-0.56,0.0
-1.96,-0.51,0.0
-1.96,-0.46,0.0
-1.96,-0.41,0.0
-1.96,-0.36,0.0
-1.96,-0.31,0.0
-1.96,-0.26,0.0
-1.96,-0.21,0.0
-1.96,-0.16,0.0
-1.96,-0.11,0.0
-1.96,-0.06,0.0
-1.96,-0.01,0.0
-1.96,0.04,0.0
-1.96,0.09,0.0
-1.96,0.14,0.0
-1.96,0.19,0.0
-1.96,0.24,0.0
-1.96,0.29,0.0
-1.96,0.34,0.0
-1.96,0.39,0.0
-1.96,0.44,0.0
-1.96,0.49,0.0
-1.96,0.54,0.0
-1.96,0.59,0.0
-1.96,0.64,0.0
-1.96,0.69,0.0
-1.96,0.74,0.0
-1.96,0.79,0.0
-1.96,0.84,0.0
-1.96,0.89,0.0
-1.96,0.94,0.0
-1.96,0.99,0.0
-1.96,1.04,0.0
-1.91,-1.16,0.0
-1.91,-1.11,0.0
-1.91,-1.06,0.0
-1.91,-1.01,0.0
-1.91,-0.96,0.0
-1.91,-0.91,0.0
-1.91,-0.86,0.0
-1.91,-0.81,0.0
-1.91,-0.76,0.0
-1.91,-0.71,0.0
-1.91,-0.66,0.0
-1.91,-0.61,0.0
-1.91,-0.56,0.0
-1.91,-0.51,0.0
-1.91,-0.46,0.0
-1.91,-0.41,0.0
-1.91,-0.36,0.0
-1.91,-0.31,0.0
-1.91,-0.26,0.0
-1.91,-0.21,0.0
-1.91,-0.16,0.0
-1.91,-0.11,0.0
-1.91,-0.06,0.0
-1.91,-0.01,0.0
-1.91,0.04,0.0
-1.91,0.09,0.0
-1.91,0.14,0.0
-1.91,0.19,0.0
-1.91,0.24,0.0
-1.91,0.29,0.0
-1.91,0.34,0.0
-1.91,0.39,0.0
-1.91,0.44,0.0
-1.91,0.49,0.0
-1.91,0.54,0.0
-1.91,0.59,0.0
-1.91,0.64,0.0
-1.91,0.69,0.0
-1.91,0.74,0.0
-1.91,0.79,0.0
-1.91,0.84,0.0
-1.91,0.89,0.0
-1.91,0.94,0.0
-1.91,0.99,0.0
-1.91,1.04,0.0
-1.91,1.09,0.0
-1.91,1.14,0.0
-1.86,-1.26,0.0
-1.86,-1.21,0.0
-1.86,-1.16,0.0
-1.86,-1.11,0.0
-1.86,-1.06,0.0
-1.86,-1.01,0.0
-1.86,-0.96,0.0
-1.86,-0.91,0.0
-1.86,-0.86,0.0
-1.86,-0.81,0.0
-1.86,-0.76,0.0
-1.86,-0.71,0.0
-1.86,-0.66,0.0
-1.86,-0.61,0.0
-1.86,-0.56,0.0
-1.86,-0.51,0.0
-1.86,-0.46,0.0
-1.86,-0.41,0.0
-1.86,-0.36,0.0
-1.86,-0.31,0.0
-1.86,-0.26,0.0
-1.86,-0.21,0.0
-1.86,-0.16,0.0
-1.86,-0.11,0.0
-1.86,-0.06,0.0
-1.86,-0.01,0.0
-1.86,0.04,0.0
-1.86,0.09,0.0
-1.86,0.14,0.0
-1.86,0.19,0.0
-1.86,0.24,0.0
-1.86,0.29,0.0
-1.86,0.34,0.0
-1.86,0.39,0.0
-1.86,0.44,0.0
-1.86,0.49,0.0
-1.86,0.54,0.0
-1.86,0.59,0.0
-1.86,0.64,0.0
-1.86,0.69,0.0
-1.86,0.74,0.0
-1.86,0.79,0.0
-1.86,0.84,0.0
-1.86,0.89,0.0
-1.86,0.94,0.0
-1.86,0.99,0.0
-1.86,1.04,0.0
-1.86,1.09,0.0
-1.86,1.14,0.0
-1.86,1.19,0.0
-1.86,1.24,0.0
-1.86,1.29,0.0
-1.81,-1.41,0.0
-1.81,-1.36,0.0
-1.81,-1.31,0.0
-1.81,-1.26,0.0
-1.81,-1.21,0.0
-1.81,-1.16,0.0
-1.81,-1.11,0.0
-1.81,-1.06,0.0
-1.81,-1.01,0.0
-1.81,-0.96,0.0
-1.81,-0.91,0.0
-1.81,-0.86,0.0
-1.81,-0.81,0.0
-1.81,-0.76,0.0
-1.81,-0.71,0.0
-1.81,-0.66,0.0
-1.81,-0.61,0.0
-1.81,-0.56,0.0
-1.81,-0.51,0.0
-1.81,-0.46,0.0
-1.81,-0.41,0.0
-1.81,-0.36,0.0
-1.81,-0.31,0.0
-1.81,-0.26,0.0
-1.81,-0.21,0.0
-1.81,-0.16,0.0
-1.81,-0.11,0.0
-1.81,-0.06,0.0
-1.81,-0.01,0.0
-1.81,0.04,0.0
-1.81,0.09,0.0
-1.81,0.14,0.0
-1.81,0.19,0.0
-1.81,0.24,0.0
-1.81,0.29,0.0
-1.81,0.34,0.0
-1.81,0.39,0.0
-1.81,0.44,0.0
-1.81,0.49,0.0
-1.81,0.54,0.0
-1.81,0.59,0.0
-1.81,0.64,0.0
-1.81,0.69,0.0
-1.81,0.74,0.0
-1.81,0.79,0.0
-1.81,0.84,0.0
-1.81,0.89,0.0
-1.81,0.94,0.0
-1.81,0.99,0.0
-1.81,1.04,0.0
-1.81,1.09,0.0
-1.81,1.14,0.0
-1.81,1.19,0.0
-1.81,1.24,0.0
-1.81,1.29,0.0
-1.81,1.34,0.0
-1.81,1.39,0.0
-1.76,-1.51,0.0
-1.76,-1.46,0.0
-1.76,-1.41,0.0
-1.76,-1.36,0.0
-1.76,-1.31,0.0
-1.76,-1.26,0.0
-1.76,-1.21,0.0
-1.76,-1.16,0.0
-1.76,-1.11,0.0
-1.76,-1.06,0.0
-1.76,-1.01,0.0
-1.76,-0.96,0.0
-1.76,-0.91,0.0
-1.76,-0.86,0.0
-1.76,-0.81,0.0
-1.76,-0.76,0.0
-1.76,-0.71,0.0
-1.76,-0.66,0.0
-1.76,-0.61,0.0
-1.76,-0.56,0.0
-1.76,-0.51,0.0
-1.76,-0.46,0.0
-1.76,-0.41,0.0
-1.76,-0.36,0.0
-1.76,-0.31,0.0
-1.76,-0.26,0.0
-1.76,-0.21,0.0
-1.76,-0.16,0.0
-1.76,-0.11,0.0
-1.76,-0.06,0.0
-1.76,-0.01,0.0
-1.76,0.04,0.0
-1.76,0.09,0.0
-1.76,0.14,0.0
-1.76,0.19,0.0
-1.76,0.24,0.0
-1.76,0.29,0.0
-1.76,0.34,0.0
-1.76,0.39,0.0
-1.76,0.44,0.0
-1.76,0.49,0.0
-1.76,0.54,0.0
-1.76,0.59,0.0
-1.76,0.64,0.0
-1.76,0.69,0.0
-1.76,0.74,0.0
-1.76,0.79,0.0
-1.76,0.84,0.0
-1.76,0.89,0.0
-1.76,0.94,0.0
-1.76,0.99,0.0
-1.76,1.04,0.0
-1.76,1.09,0.0
-1.76,1.14,0.0
-1.76,1.19,0.0
-1.76,1.24,0.0
-1.76,1.29,0.0
-1.76,1.34,0.0
-1.76,1.39,0.0
-1.76,1.44,0.0
-1.76,1.49,0.0
-1.76,1.54,0.0
-1.71,-1.66,0.0
-1.71,-1.61,0.0
-1.71,-1.56,0.0
-1.71,-1.51,0.0
-1.71,-1.46,0.0
-1.71,-1.41,0.0
-1.71,-1.36,0.0
-1.71,-1.31,0.0
-1.71,-1.26,0.0
-1.71,-1.21,0.0
-1.71,-1.16,0.0
-1.71,-1.11,0.0
-1.71,-1.06,0.0
-1.71,-1.01,0.0
-1.71,-0.96,0.0
-1.71,-0.91,0.0
-1.71,-0.86,0.0
-1.71,-0.81,0.0
-1.71,-0.76,0.0
-1.71,-0.71,0.0
-1.71,-0.66,0.0
-1.71,-0.61,0.0
-1.71,-0.56,0.0
-1.71,-0.51,0.0
-1.71,-0.46,0.0
-1.71,-0.41,0.0
-1.71,-0.36,0.0
-1.71,-0.31,0.0
-1.71,-0.26,0.0
-1.71,-0.21,0.0
-1.71,-0.16,0.0
-1.71,-0.11,0.0
-1.71,-0.06,0.0
-1.71,-0.01,0.0
-1.71,0.04,0.0
-1.71,0.09,0.0
-1.71,0.14,0.0
-1.71,0.19,0.0
-1.71,0.24,0.0
