x,y,theta
-5.74318,-0.7697,0.0
-5.74318,-0.7105,0.0
-5.74318,-0.65129,0.0
-5.74318,-0.59208,0.0
-5.74318,-0.53287,0.0
-5.74318,-0.47366,0.0
-5.74318,-0.41446,0.0
-5.74318,-0.35525,0.0
-5.74318,-0.29604,0.0
-5.74318,-0.23683,0.0
-5.74318,-0.17762,0.0
-5.74318,-0.11842,0.0
-5.74318,-0.05921,0.0
-5.74318,0,0.0
-5.74318,0.05921,0.0
-5.74318,0.11842,0.0
-5.74318,0.17762,0.0
-5.74318,0.23683,0.0
-5.74318,0.29604,0.0
-5.74318,0.35525,0.0
-5.74318,0.41446,0.0
-5.74318,0.47366,0.0
-5.74318,0.53287,0.0
-5.74318,0.59208,0.0
-5.74318,0.65129,0.0
-5.74318,0.7105,0.0
-5.74318,0.7697,0.0
-5.68397,-1.12495,0.0
-5.68397,-1.06575,0.0
-5.68397,-1.00654,0.0
-5.68397,-0.94733,0.0
-5.68397,-0.88812,0.0
-5.68397,-0.82891,0.0
-5.68397,-0.7697,0.0
-5.68397,-0.7105,0.0
-5.68397,-0.65129,0.0
-5.68397,-0.59208,0.0
-5.68397,-0.53287,0.0
-5.68397,-0.47366,0.0
-5.68397,-0.41446,0.0
-5.68397,-0.35525,0.0
-5.68397,-0.29604,0.0
-5.68397,-0.23683,0.0
-5.68397,-0.17762,0.0
-5.68397,-0.11842,0.0
-5.68397,-0.05921,0.0
-5.68397,0,0.0
-5.68397,0.05921,0.0
-5.68397,0.11842,0.0
-5.68397,0.17762,0.0
-5.68397,0.23683,0.0
-5.68397,0.29604,0.0
-5.68397,0.35525,0.0
-5.68397,0.41446,0.0
-5.68397,0.47366,0.0
-5.68397,0.53287,0.0
-5.68397,0.59208,0.0
-5.68397,0.65129,0.0
-5.68397,0.7105,0.0
-5.68397,0.7697,0.0
-5.68397,0.82891,0.0
-5.68397,0.88812,0.0
-5.68397,0.94733,0.0
-5.68397,1.00654,0.0
-5.68397,1.06575,0.0
-5.68397,1.12495,0.0
-5.62477,-1.36179,0.0
-5.62477,-1.30258,0.0
-5.62477,-1.24337,0.0
-5.62477,-1.18416,0.0
-5.62477,-1.12495,0.0
-5.62477,-1.06575,0.0
-5.62477,-1.00654,0.0
-5.62477,-0.94733,0.0
-5.62477,-0.88812,0.0
-5.62477,-0.82891,0.0
-5.62477,-0.7697,0.0
-5.62477,-0.7105,0.0
-5.62477,-0.65129,0.0
-5.62477,-0.59208,0.0
-5.62477,-0.53287,0.0
-5.62477,-0.47366,0.0
-5.62477,-0.41446,0.0
-5.62477,-0.35525,0.0
-5.62477,-0.29604,0.0
-5.62477,-0.23683,0.0
-5.62477,-0.17762,0.0
-5.62477,-0.11842,0.0
-5.62477,-0.05921,0.0
-5.62477,0,0.0
-5.62477,0.05921,0.0
-5.62477,0.11842,0.0
-5.62477,0.17762,0.0
-5.62477,0.23683,0.0
-5.62477,0.29604,0.0
-5.62477,0.35525,0.0
-5.62477,0.41446,0.0
-5.62477,0.47366,0.0
-5.62477,0.53287,0.0
-5.62477,0.59208,0.0
-5.62477,0.65129,0.0
-5.62477,0.7105,0.0
-5.62477,0.7697,0.0
-5.62477,0.82891,0.0
-5.62477,0.88812,0.0
-5.62477,0.94733,0.0
-5.62477,1.00654,0.0
-5.62477,1.06575,0.0
-5.62477,1.12495,0.0
-5.62477,1.18416,0.0
-5.62477,1.24337,0.0
-5.62477,1.30258,0.0
-5.62477,1.36179,0.0
-5.56556,-1.59862,0.0
-5.56556,-1.53941,0.0
-5.56556,-1.4802,0.0
-5.56556,-1.42099,0.0
-5.56556,-1.36179,0.0
-5.56556,-1.30258,0.0
-5.56556,-1.24337,0.0
-5.56556,-1.18416,0.0
-5.56556,-1.12495,0.0
-5.56556,-1.06575,0.0
-5.56556,-1.00654,0.0
-5.56556,-0.94733,0.0
-5.56556,-0.88812,0.0
-5.56556,-0.82891,0.0
-5.56556,-0.7697,0.0
-5.56556,-0.7105,0.0
-5.56556,-0.65129,0.0
-5.56556,-0.59208,0.0
-5.56556,-0.53287,0.0
-5.56556,-0.47366,0.0
-5.56556,-0.41446,0.0
-5.56556,-0.35525,0.0
-5.56556,-0.29604,0.0
-5.56556,-0.23683,0.0
-5.56556,-0.17762,0.0
-5.56556,-0.11842,0.0
-5.56556,-0.05921,0.0
-5.56556,0,0.0
-5.56556,0.05921,0.0
-5.56556,0.11842,0.0
-5.56556,0.17762,0.0
-5.56556,0.23683,0.0
-5.56556,0.29604,0.0
-5.56556,0.35525,0.0
-5.56556,0.41446,0.0
-5.56556,0.47366,0.0
-5.56556,0.53287,0.0
-5.56556,0.59208,0.0
-5.56556,0.65129,0.0
-5.56556,0.7105,0.0
-5.56556,0.7697,0.0
-5.56556,0.82891,0.0
-5.56556,0.88812,0.0
-5.56556,0.94733,0.0
-5.56556,1.00654,0.0
-5.56556,1.06575,0.0
-5.56556,1.12495,0.0
-5.56556,1.18416,0.0
-5.56556,1.24337,0.0
-5.56556,1.30258,0.0
