x,y,theta
-3.26767,-0.43794,0.0
-3.26767,-0.40425,0.0
-3.26767,-0.37056,0.0
-3.26767,-0.33687,0.0
-3.26767,-0.30319,0.0
-3.26767,-0.2695,0.0
-3.26767,-0.23581,0.0
-3.26767,-0.20212,0.0
-3.26767,-0.16844,0.0
-3.26767,-0.13475,0.0
-3.26767,-0.10106,0.0
-3.26767,-0.06737,0.0
-3.26767,-0.03369,0.0
-3.26767,0,0.0
-3.26767,0.03369,0.0
-3.26767,0.06737,0.0
-3.26767,0.10106,0.0
-3.26767,0.13475,0.0
-3.26767,0.16844,0.0
-3.26767,0.20212,0.0
-3.26767,0.23581,0.0
-3.26767,0.2695,0.0
-3.26767,0.30319,0.0
-3.26767,0.33687,0.0
-3.26767,0.37056,0.0
-3.26767,0.40425,0.0
-3.26767,0.43794,0.0
-3.23399,-0.64006,0.0
-3.23399,-0.60637,0.0
-3.23399,-0.57268,0.0
-3.23399,-0.539,0.0
-3.23399,-0.50531,0.0
-3.23399,-0.47162,0.0
-3.23399,-0.43794,0.0
-3.23399,-0.40425,0.0
-3.23399,-0.37056,0.0
-3.23399,-0.33687,0.0
-3.23399,-0.30319,0.0
-3.23399,-0.2695,0.0
-3.23399,-0.23581,0.0
-3.23399,-0.20212,0.0
-3.23399,-0.16844,0.0
-3.23399,-0.13475,0.0
-3.23399,-0.10106,0.0
-3.23399,-0.06737,0.0
-3.23399,-0.03369,0.0
-3.23399,0,0.0
-3.23399,0.03369,0.0
-3.23399,0.06737,0.0
-3.23399,0.10106,0.0
-3.23399,0.13475,0.0
-3.23399,0.16844,0.0
-3.23399,0.20212,0.0
-3.23399,0.23581,0.0
-3.23399,0.2695,0.0
-3.23399,0.30319,0.0
-3.23399,0.33687,0.0
-3.23399,0.37056,0.0
-3.23399,0.40425,0.0
-3.23399,0.43794,0.0
-3.23399,0.47162,0.0
-3.23399,0.50531,0.0
-3.23399,0.539,0.0
-3.23399,0.57268,0.0
-3.23399,0.60637,0.0
-3.23399,0.64006,0.0
-3.2003,-0.77481,0.0
-3.2003,-0.74112,0.0
-3.2003,-0.70743,0.0
-3.2003,-0.67375,0.0
-3.2003,-0.64006,0.0
-3.2003,-0.60637,0.0
-3.2003,-0.57268,0.0
-3.2003,-0.539,0.0
-3.2003,-0.50531,0.0
-3.2003,-0.47162,0.0
-3.2003,-0.43794,0.0
-3.2003,-0.40425,0.0
-3.2003,-0.37056,0.0
-3.2003,-0.33687,0.0
-3.2003,-0.30319,0.0
-3.2003,-0.2695,0.0
-3.2003,-0.23581,0.0
-3.2003,-0.20212,0.0
-3.2003,-0.16844,0.0
-3.2003,-0.13475,0.0
-3.2003,-0.10106,0.0
-3.2003,-0.06737,0.0
-3.2003,-0.03369,0.0
-3.2003,0,0.0
-3.2003,0.03369,0.0
-3.2003,0.06737,0.0
-3.2003,0.10106,0.0
-3.2003,0.13475,0.0
-3.2003,0.16844,0.0
-3.2003,0.20212,0.0
-3.2003,0.23581,0.0
-3.2003,0.2695,0.0
-3.2003,0.30319,0.0
-3.2003,0.33687,0.0
-3.2003,0.37056,0.0
-3.2003,0.40425,0.0
-3.2003,0.43794,0.0
-3.2003,0.47162,0.0
-3.2003,0.50531,0.0
-3.2003,0.539,0.0
-3.2003,0.57268,0.0
-3.2003,0.60637,0.0
-3.2003,0.64006,0.0
-3.2003,0.67375,0.0
-3.2003,0.70743,0.0
-3.2003,0.74112,0.0
-3.2003,0.77481,0.0
-3.16661,-0.90956,0.0
-3.16661,-0.87587,0.0
-3.16661,-0.84218,0.0
-3.16661,-0.8085,0.0
-3.16661,-0.77481,0.0
-3.16661,-0.74112,0.0
-3.16661,-0.70743,0.0
-3.16661,-0.67375,0.0
-3.16661,-0.64006,0.0
-3.16661,-0.60637,0.0
-3.16661,-0.57268,0.0
-3.16661,-0.539,0.0
-3.16661,-0.50531,0.0
-3.16661,-0.47162,0.0
-3.16661,-0.43794,0.0
-3.16661,-0.40425,0.0
-3.16661,-0.37056,0.0
-3.16661,-0.33687,0.0
-3.16661,-0.30319,0.0
-3.16661,-0.2695,0.0
-3.16661,-0.23581,0.0
-3.16661,-0.20212,0.0
-3.16661,-0.16844,0.0
-3.16661,-0.13475,0.0
-3.16661,-0.10106,0.0
-3.16661,-0.06737,0.0
-3.16661,-0.03369,0.0
-3.16661,0,0.0
-3.16661,0.03369,0.0
-3.16661,0.06737,0.0
-3.16661,0.10106,0.0
-3.16661,0.13475,0.0
