x,y,theta
-9.704,-1.30054,0.0
-9.704,-1.20049,0.0
-9.704,-1.10045,0.0
-9.704,-1.00041,0.0
-9.704,-0.90037,0.0
-9.704,-0.80033,0.0
-9.704,-0.70029,0.0
-9.704,-0.60025,0.0
-9.704,-0.50021,0.0
-9.704,-0.40016,0.0
-9.704,-0.30012,0.0
-9.704,-0.20008,0.0
-9.704,-0.10004,0.0
-9.704,0,0.0
-9.704,0.10004,0.0
-9.704,0.20008,0.0
-9.704,0.30012,0.0
-9.704,0.40016,0.0
-9.704,0.50021,0.0
-9.704,0.60025,0.0
-9.704,0.70029,0.0
-9.704,0.80033,0.0
-9.704,0.90037,0.0
-9.704,1.00041,0.0
-9.704,1.10045,0.0
-9.704,1.20049,0.0
-9.704,1.30054,0.0
-9.60396,-1.90078,0.0
-9.60396,-1.80074,0.0
-9.60396,-1.7007,0.0
-9.60396,-1.60066,0.0
-9.60396,-1.50062,0.0
-9.60396,-1.40058,0.0
-9.60396,-1.30054,0.0
-9.60396,-1.20049,0.0
-9.60396,-1.10045,0.0
-9.60396,-1.00041,0.0
-9.60396,-0.90037,0.0
-9.60396,-0.80033,0.0
-9.60396,-0.70029,0.0
-9.60396,-0.60025,0.0
-9.60396,-0.50021,0.0
-9.60396,-0.40016,0.0
-9.60396,-0.30012,0.0
-9.60396,-0.20008,0.0
-9.60396,-0.10004,0.0
-9.60396,0,0.0
-9.60396,0.10004,0.0
-9.60396,0.20008,0.0
-9.60396,0.30012,0.0
-9.60396,0.40016,0.0
-9.60396,0.50021,0.0
-9.60396,0.60025,0.0
-9.60396,0.70029,0.0
-9.60396,0.80033,0.0
-9.60396,0.90037,0.0
-9.60396,1.00041,0.0
-9.60396,1.10045,0.0
-9.60396,1.20049,0.0
-9.60396,1.30054,0.0
-9.60396,1.40058,0.0
-9.60396,1.50062,0.0
-9.60396,1.60066,0.0
-9.60396,1.7007,0.0
-9.60396,1.80074,0.0
-9.60396,1.90078,0.0
-9.50392,-2.30095,0.0
-9.50392,-2.20091,0.0
-9.50392,-2.10087,0.0
-9.50392,-2.00082,0.0
-9.50392,-1.90078,0.0
-9.50392,-1.80074,0.0
-9.50392,-1.7007,0.0
-9.50392,-1.60066,0.0
-9.50392,-1.50062,0.0
-9.50392,-1.40058,0.0
-9.50392,-1.30054,0.0
-9.50392,-1.20049,0.0
-9.50392,-1.10045,0.0
-9.50392,-1.00041,0.0
-9.50392,-0.90037,0.0
-9.50392,-0.80033,0.0
-9.50392,-0.70029,0.0
-9.50392,-0.60025,0.0
-9.50392,-0.50021,0.0
-9.50392,-0.40016,0.0
-9.50392,-0.30012,0.0
-9.50392,-0.20008,0.0
-9.50392,-0.10004,0.0
-9.50392,0,0.0
-9.50392,0.10004,0.0
-9.50392,0.20008,0.0
-9.50392,0.30012,0.0
-9.50392,0.40016,0.0
-9.50392,0.50021,0.0
-9.50392,0.60025,0.0
-9.50392,0.70029,0.0
-9.50392,0.80033,0.0
-9.50392,0.90037,0.0
-9.50392,1.00041,0.0
-9.50392,1.10045,0.0
-9.50392,1.20049,0.0
-9.50392,1.30054,0.0
-9.50392,1.40058,0.0
-9.50392,1.50062,0.0
-9.50392,1.60066,0.0
-9.50392,1.7007,0.0
-9.50392,1.80074,0.0
-9.50392,1.90078,0.0
-9.50392,2.00082,0.0
-9.50392,2.10087,0.0
-9.50392,2.20091,0.0
-9.50392,2.30095,0.0
-9.40387,-2.70111,0.0
-9.40387,-2.60107,0.0
-9.40387,-2.50103,0.0
-9.40387,-2.40099,0.0
-9.40387,-2.30095,0.0
-9.40387,-2.20091,0.0
-9.40387,-2.10087,0.0
-9.40387,-2.00082,0.0
-9.40387,-1.90078,0.0
-9.40387,-1.80074,0.0
-9.40387,-1.7007,0.0
-9.40387,-1.60066,0.0
-9.40387,-1.50062,0.0
-9.40387,-1.40058,0.0
-9.40387,-1.30054,0.0
-9.40387,-1.20049,0.0
-9.40387,-1.10045,0.0
-9.40387,-1.00041,0.0
-9.40387,-0.90037,0.0
-9.40387,-0.80033,0.0
-9.40387,-0.70029,0.0
-9.40387,-0.60025,0.0
-9.40387,-0.50021,0.0
-9.40387,-0.40016,0.0
-9.40387,-0.30012,0.0
-9.40387,-0.20008,0.0
-9.40387,-0.10004,0.0
-9.40387,0,0.0
-9.40387,0.10004,0.0
-9.40387,0.20008,0.0
-9.40387,0.30012,0.0
-9.40387,0.40016,0.0
-9.40387,0.50021,0.0
-9.40387,0.60025,0.0
-9.40387,0.70029,0.0
-9.40387,0.80033,0.0
-9.40387,0.90037,0.0
-9.40387,1.00041,0.0
-9.40387,1.10045,0.0
-9.40387,1.20049,0.0
-9.40387,1.30054,0.0
-9.40387,1.40058,0.0
-9.40387,1.50062,0.0
-9.40387,1.60066,0.0
-9.40387,1.7007,0.0
-9.40387,1.80074,0.0
-9.40387,1.90078,0.0
-9.40387,2.00082,0.0
-9.40387,2.10087,0.0
-9.40387,2.20091,0.0
-9.40387,2.30095,0.0
-9.40387,2.40099,0.0
-9.40387,2.50103,0.0
-9.40387,2.60107,0.0
-9.40387,2.70111,0.0
-9.30383,-3.00124,0.0
-9.30383,-2.9012,0.0
-9.30383,-2.80115,0.0
-9.30383,-2.70111,0.0
-9.30383,-2.60107,0.0
-9.30383,-2.50103,0.0
-9.30383,-2.40099,0.0
-9.30383,-2.30095,0.0
-9.30383,-2.20091,0.0
-9.30383,-2.10087,0.0
-9.30383,-2.00082,0.0
-9.30383,-1.90078,0.0
-9.30383,-1.80074,0.0
-9.30383,-1.7007,0.0
-9.30383,-1.60066,0.0
-9.30383,-1.50062,0.0
-9.30383,-1.40058,0.0
-9.30383,-1.30054,0.0
-9.30383,-1.20049,0.0
-9.30383,-1.10045,0.0
-9.30383,-1.00041,0.0
-9.30383,-0.90037,0.0
