x,y,theta
-4.7853,-0.79003,0.0
-4.7853,-0.76745,0.0
-4.7853,-0.74488,0.0
-4.7853,-0.72231,0.0
-4.7853,-0.69974,0.0
-4.7853,-0.67717,0.0
-4.7853,-0.65459,0.0
-4.7853,-0.63202,0.0
-4.7853,-0.60945,0.0
-4.7853,-0.58688,0.0
-4.7853,-0.5643,0.0
-4.7853,-0.54173,0.0
-4.7853,-0.51916,0.0
-4.7853,-0.49659,0.0
-4.7853,-0.47402,0.0
-4.7853,-0.45144,0.0
-4.7853,-0.42887,0.0
-4.7853,-0.4063,0.0
-4.7853,-0.38373,0.0
-4.7853,-0.36115,0.0
-4.7853,-0.33858,0.0
-4.7853,-0.31601,0.0
-4.7853,-0.29344,0.0
-4.7853,-0.27087,0.0
-4.7853,-0.24829,0.0
-4.7853,-0.22572,0.0
-4.7853,-0.20315,0.0
-4.7853,-0.18058,0.0
-4.7853,-0.15801,0.0
-4.7853,-0.13543,0.0
-4.7853,-0.11286,0.0
-4.7853,-0.09029,0.0
-4.7853,-0.06772,0.0
-4.7853,-0.04514,0.0
-4.7853,-0.02257,0.0
-4.7853,0,0.0
-4.7853,0.02257,0.0
-4.7853,0.04514,0.0
-4.7853,0.06772,0.0
-4.7853,0.09029,0.0
-4.7853,0.11286,0.0
-4.7853,0.13543,0.0
-4.7853,0.15801,0.0
-4.7853,0.18058,0.0
-4.7853,0.20315,0.0
-4.7853,0.22572,0.0
-4.7853,0.24829,0.0
-4.7853,0.27087,0.0
-4.7853,0.29344,0.0
-4.7853,0.31601,0.0
-4.7853,0.33858,0.0
-4.7853,0.36115,0.0
-4.7853,0.38373,0.0
-4.7853,0.4063,0.0
-4.7853,0.42887,0.0
-4.7853,0.45144,0.0
-4.7853,0.47402,0.0
-4.7853,0.49659,0.0
-4.7853,0.51916,0.0
-4.7853,0.54173,0.0
-4.7853,0.5643,0.0
-4.7853,0.58688,0.0
-4.7853,0.60945,0.0
-4.7853,0.63202,0.0
-4.7853,0.65459,0.0
-4.7853,0.67717,0.0
-4.7853,0.69974,0.0
-4.7853,0.72231,0.0
-4.7853,0.74488,0.0
-4.7853,0.76745,0.0
-4.7853,0.79003,0.0
-4.76273,-0.79003,0.0
-4.76273,-0.76745,0.0
-4.76273,-0.74488,0.0
-4.76273,-0.72231,0.0
-4.76273,-0.69974,0.0
-4.76273,-0.67717,0.0
-4.76273,-0.65459,0.0
-4.76273,-0.63202,0.0
-4.76273,-0.60945,0.0
-4.76273,-0.58688,0.0
-4.76273,-0.5643,0.0
-4.76273,-0.54173,0.0
-4.76273,-0.51916,0.0
-4.76273,-0.49659,0.0
-4.76273,-0.47402,0.0
-4.76273,-0.45144,0.0
-4.76273,-0.42887,0.0
-4.76273,-0.4063,0.0
-4.76273,-0.38373,0.0
-4.76273,-0.36115,0.0
-4.76273,-0.33858,0.0
-4.76273,-0.31601,0.0
-4.76273,-0.29344,0.0
-4.76273,-0.27087,0.0
-4.76273,-0.24829,0.0
-4.76273,-0.22572,0.0
-4.76273,-0.20315,0.0
-4.76273,-0.18058,0.0
-4.76273,-0.15801,0.0
-4.76273,-0.13543,0.0
-4.76273,-0.11286,0.0
-4.76273,-0.09029,0.0
-4.76273,-0.06772,0.0
-4.76273,-0.04514,0.0
-4.76273,-0.02257,0.0
-4.76273,0,0.0
-4.76273,0.02257,0.0
-4.76273,0.04514,0.0
-4.76273,0.06772,0.0
-4.76273,0.09029,0.0
-4.76273,0.11286,0.0
-4.76273,0.13543,0.0
-4.76273,0.15801,0.0
-4.76273,0.18058,0.0
-4.76273,0.20315,0.0
-4.76273,0.22572,0.0
-4.76273,0.24829,0.0
-4.76273,0.27087,0.0
-4.76273,0.29344,0.0
-4.76273,0.31601,0.0
-4.76273,0.33858,0.0
-4.76273,0.36115,0.0
-4.76273,0.38373,0.0
-4.76273,0.4063,0.0
-4.76273,0.42887,0.0
-4.76273,0.45144,0.0
-4.76273,0.47402,0.0
-4.76273,0.49659,0.0
-4.76273,0.51916,0.0
-4.76273,0.54173,0.0
-4.76273,0.5643,0.0
-4.76273,0.58688,0.0
-4.76273,0.60945,0.0
-4.76273,0.63202,0.0
-4.76273,0.65459,0.0
-4.76273,0.67717,0.0
-4.76273,0.69974,0.0
-4.76273,0.72231,0.0
-4.76273,0.74488,0.0
-4.76273,0.76745,0.0
-4.76273,0.79003,0.0
-4.74016,-0.79003,0.0
-4.74016,-0.76745,0.0
-4.74016,-0.74488,0.0
-4.74016,-0.72231,0.0
-4.74016,-0.69974,0.0
-4.74016,-0.67717,0.0
-4.74016,-0.65459,0.0
-4.74016,-0.63202,0.0
-4.74016,-0.60945,0.0
-4.74016,-0.58688,0.0
-4.74016,-0.5643,0.0
-4.74016,-0.54173,0.0
-4.74016,-0.51916,0.0
-4.74016,-0.49659,0.0
-4.74016,-0.47402,0.0
-4.74016,-0.45144,0.0
-4.74016,-0.42887,0.0
-4.74016,-0.4063,0.0
-4.74016,-0.38373,0.0
-4.74016,-0.36115,0.0
-4.74016,-0.33858,0.0
-4.74016,-0.31601,0.0
-4.74016,-0.29344,0.0
-4.74016,-0.27087,0.0
-4.74016,-0.24829,0.0
-4.74016,-0.22572,0.0
-4.74016,-0.20315,0.0
-4.74016,-0.18058,0.0
-4.74016,-0.15801,0.0
-4.74016,-0.13543,0.0
-4.74016,-0.11286,0.0
-4.74016,-0.09029,0.0
-4.74016,-0.06772,0.0
-4.74016,-0.04514,0.0
-4.74016,-0.02257,0.0
-4.74016,0,0.0
-4.74016,0.02257,0.0
-4.74016,0.04514,0.0
-4.74016,0.06772,0.0
-4.74016,0.09029,0.0
-4.74016,0.11286,0.0
-4.74016,0.13543,0.0
-4.74016,0.15801,0.0
