x,y,theta
-8.18025,-0.63331,0.0
-8.18025,-0.60692,0.0
-8.18025,-0.58053,0.0
-8.18025,-0.55415,0.0
-8.18025,-0.52776,0.0
-8.18025,-0.50137,0.0
-8.18025,-0.47498,0.0
-8.18025,-0.44859,0.0
-8.18025,-0.42221,0.0
-8.18025,-0.39582,0.0
-8.18025,-0.36943,0.0
-8.18025,-0.34304,0.0
-8.18025,-0.31665,0.0
-8.18025,-0.29027,0.0
-8.18025,-0.26388,0.0
-8.18025,-0.23749,0.0
-8.18025,-0.2111,0.0
-8.18025,-0.18472,0.0
-8.18025,-0.15833,0.0
-8.18025,-0.13194,0.0
-8.18025,-0.10555,0.0
-8.18025,-0.07916,0.0
-8.18025,-0.05278,0.0
-8.18025,-0.02639,0.0
-8.18025,0,0.0
-8.18025,0.02639,0.0
-8.18025,0.05278,0.0
-8.18025,0.07916,0.0
-8.18025,0.10555,0.0
-8.18025,0.13194,0.0
-8.18025,0.15833,0.0
-8.18025,0.18472,0.0
-8.18025,0.2111,0.0
-8.18025,0.23749,0.0
-8.18025,0.26388,0.0
-8.18025,0.29027,0.0
-8.18025,0.31665,0.0
-8.18025,0.34304,0.0
-8.18025,0.36943,0.0
-8.18025,0.39582,0.0
-8.18025,0.42221,0.0
-8.18025,0.44859,0.0
-8.18025,0.47498,0.0
-8.18025,0.50137,0.0
-8.18025,0.52776,0.0
-8.18025,0.55415,0.0
-8.18025,0.58053,0.0
-8.18025,0.60692,0.0
-8.18025,0.63331,0.0
-8.15386,-0.63331,0.0
-8.15386,-0.60692,0.0
-8.15386,-0.58053,0.0
-8.15386,-0.55415,0.0
-8.15386,-0.52776,0.0
-8.15386,-0.50137,0.0
-8.15386,-0.47498,0.0
-8.15386,-0.44859,0.0
-8.15386,-0.42221,0.0
-8.15386,-0.39582,0.0
-8.15386,-0.36943,0.0
-8.15386,-0.34304,0.0
-8.15386,-0.31665,0.0
-8.15386,-0.29027,0.0
-8.15386,-0.26388,0.0
-8.15386,-0.23749,0.0
