x,y,theta
-2.77368,-2.15102,0.0
-2.77368,-2.12272,0.0
-2.77368,-2.09441,0.0
-2.77368,-2.06611,0.0
-2.77368,-2.03781,0.0
-2.77368,-2.00951,0.0
-2.77368,-1.9812,0.0
-2.77368,-1.9529,0.0
-2.77368,-1.9246,0.0
-2.77368,-1.89629,0.0
-2.77368,-1.86799,0.0
-2.77368,-1.83969,0.0
-2.77368,-1.81139,0.0
-2.77368,-1.78308,0.0
-2.77368,-1.75478,0.0
-2.77368,-1.72648,0.0
-2.77368,-1.69817,0.0
-2.77368,-1.66987,0.0
-2.77368,-1.64157,0.0
-2.77368,-1.61327,0.0
-2.77368,-1.58496,0.0
-2.77368,-1.55666,0.0
-2.77368,-1.52836,0.0
-2.77368,-1.50005,0.0
-2.77368,-1.47175,0.0
-2.77368,-1.44345,0.0
-2.77368,-1.41514,0.0
-2.77368,-1.38684,0.0
-2.77368,-1.35854,0.0
-2.77368,-1.33024,0.0
-2.77368,-1.30193,0.0
-2.77368,-1.27363,0.0
-2.77368,-1.24533,0.0
-2.77368,-1.21702,0.0
-2.77368,-1.18872,0.0
-2.77368,-1.16042,0.0
-2.77368,-1.13212,0.0
-2.77368,-1.10381,0.0
-2.77368,-1.07551,0.0
-2.77368,-1.04721,0.0
-2.77368,-1.0189,0.0
-2.77368,-0.9906,0.0
-2.77368,-0.9623,0.0
-2.77368,-0.934,0.0
-2.77368,-0.90569,0.0
-2.77368,-0.87739,0.0
-2.77368,-0.84909,0.0
-2.77368,-0.82078,0.0
-2.77368,-0.79248,0.0
-2.77368,-0.76418,0.0
-2.77368,-0.73588,0.0
-2.77368,-0.70757,0.0
-2.77368,-0.67927,0.0
-2.77368,-0.65097,0.0
-2.77368,-0.62266,0.0
-2.77368,-0.59436,0.0
-2.77368,-0.56606,0.0
-2.77368,-0.53776,0.0
-2.77368,-0.50945,0.0
-2.77368,-0.48115,0.0
-2.77368,-0.45285,0.0
-2.77368,-0.42454,0.0
-2.77368,-0.39624,0.0
-2.77368,-0.36794,0.0
-2.77368,-0.33963,0.0
-2.77368,-0.31133,0.0
-2.77368,-0.28303,0.0
-2.77368,-0.25473,0.0
-2.77368,-0.22642,0.0
-2.77368,-0.19812,0.0
-2.77368,-0.16982,0.0
-2.77368,-0.14151,0.0
-2.77368,-0.11321,0.0
-2.77368,-0.08491,0.0
-2.77368,-0.05661,0.0
-2.77368,-0.0283,0.0
-2.77368,0,0.0
-2.77368,0.0283,0.0
-2.77368,0.05661,0.0
-2.77368,0.08491,0.0
-2.77368,0.11321,0.0
-2.77368,0.14151,0.0
-2.77368,0.16982,0.0
-2.77368,0.19812,0.0
-2.77368,0.22642,0.0
-2.77368,0.25473,0.0
-2.77368,0.28303,0.0
-2.77368,0.31133,0.0
-2.77368,0.33963,0.0
-2.77368,0.36794,0.0
-2.77368,0.39624,0.0
-2.77368,0.42454,0.0
-2.77368,0.45285,0.0
-2.77368,0.48115,0.0
-2.77368,0.50945,0.0
-2.77368,0.53776,0.0
-2.77368,0.56606,0.0
-2.77368,0.59436,0.0
-2.77368,0.62266,0.0
-2.77368,0.65097,0.0
-2.77368,0.67927,0.0
-2.77368,0.70757,0.0
-2.77368,0.73588,0.0
-2.77368,0.76418,0.0
-2.77368,0.79248,0.0
-2.77368,0.82078,0.0
-2.77368,0.84909,0.0
-2.77368,0.87739,0.0
-2.77368,0.90569,0.0
-2.77368,0.934,0.0
-2.77368,0.9623,0.0
-2.77368,0.9906,0.0
-2.77368,1.0189,0.0
-2.77368,1.04721,0.0
-2.77368,1.07551,0.0
-2.77368,1.10381,0.0
-2.77368,1.13212,0.0
-2.77368,1.16042,0.0
-2.77368,1.18872,0.0
-2.77368,1.21702,0.0
-2.77368,1.24533,0.0
-2.77368,1.27363,0.0
-2.77368,1.30193,0.0
-2.77368,1.33024,0.0
-2.77368,1.35854,0.0
-2.77368,1.38684,0.0
-2.77368,1.41514,0.0
-2.77368,1.44345,0.0
-2.77368,1.47175,0.0
-2.77368,1.50005,0.0
-2.77368,1.52836,0.0
-2.77368,1.55666,0.0
-2.77368,1.58496,0.0
-2.77368,1.61327,0.0
-2.77368,1.64157,0.0
-2.77368,1.66987,0.0
-2.77368,1.69817,0.0
-2.77368,1.72648,0.0
-2.77368,1.75478,0.0
-2.77368,1.78308,0.0
-2.77368,1.81139,0.0
-2.77368,1.83969,0.0
-2.77368,1.86799,0.0
-2.77368,1.89629,0.0
-2.77368,1.9246,0.0
-2.77368,1.9529,0.0
-2.77368,1.9812,0.0
-2.77368,2.00951,0.0
-2.77368,2.03781,0.0
-2.77368,2.06611,0.0
-2.77368,2.09441,0.0
-2.77368,2.12272,0.0
-2.77368,2.15102,0.0
-2.74538,-2.15102,0.0
-2.74538,-2.12272,0.0
-2.74538,-2.09441,0.0
-2.74538,-2.06611,0.0
-2.74538,-2.03781,0.0
-2.74538,-2.00951,0.0
-2.74538,-1.9812,0.0
-2.74538,-1.9529,0.0
-2.74538,-1.9246,0.0
-2.74538,-1.89629,0.0
-2.74538,-1.86799,0.0
-2.74538,-1.83969,0.0
-2.74538,-1.81139,0.0
-2.74538,-1.78308,0.0
-2.74538,-1.75478,0.0
-2.74538,-1.72648,0.0
-2.74538,-1.69817,0.0
-2.74538,-1.66987,0.0
-2.74538,-1.64157,0.0
-2.74538,-1.61327,0.0
-2.74538,-1.58496,0.0
-2.74538,-1.55666,0.0
-2.74538,-1.52836,0.0
-2.74538,-1.50005,0.0
-2.74538,-1.47175,0.0
-2.74538,-1.44345,0.0
-2.74538,-1.41514,0.0
-2.74538,-1.38684,0.0
-2.74538,-1.35854,0.0
-2.74538,-1.33024,0.0
-2.74538,-1.30193,0.0
-2.74538,-1.27363,0.0
-2.74538,-1.24533,0.0
-2.74538,-1.21702,0.0
-2.74538,-1.18872,0.0
-2.74538,-1.16042,0.0
-2.74538,-1.13212,0.0
-2.74538,-1.10381,0.0
-2.74538,-1.07551,0.0
-2.74538,-1.04721,0.0
-2.74538,-1.0189,0.0
-2.74538,-0.9906,0.0
-2.74538,-0.9623,0.0
-2.74538,-0.934,0.0
-2.74538,-0.90569,0.0
-2.74538,-0.87739,0.0
-2.74538,-0.84909,0.0
-2.74538,-0.82078,0.0
-2.74538,-0.79248,0.0
-2.74538,-0.76418,0.0
-2.74538,-0.73588,0.0
-2.74538,-0.70757,0.0
-2.74538,-0.67927,0.0
-2.74538,-0.65097,0.0
-2.74538,-0.62266,0.0
-2.74538,-0.59436,0.0
-2.74538,-0.56606,0.0
-2.74538,-0.53776,0.0
-2.74538,-0.50945,0.0
-2.74538,-0.48115,0.0
-2.74538,-0.45285,0.0
-2.74538,-0.42454,0.0
-2.74538,-0.39624,0.0
-2.74538,-0.36794,0.0
-2.74538,-0.33963,0.0
-2.74538,-0.31133,0.0
-2.74538,-0.28303,0.0
-2.74538,-0.25473,0.0
-2.74538,-0.22642,0.0
-2.74538,-0.19812,0.0
-2.74538,-0.16982,0.0
-2.74538,-0.14151,0.0
-2.74538,-0.11321,0.0
-2.74538,-0.08491,0.0
-2.74538,-0.05661,0.0
-2.74538,-0.0283,0.0
-2.74538,0,0.0
-2.74538,0.0283,0.0
-2.74538,0.05661,0.0
-2.74538,0.08491,0.0
-2.74538,0.11321,0.0
-2.74538,0.14151,0.0
-2.74538,0.16982,0.0
-2.74538,0.19812,0.0
-2.74538,0.22642,0.0
-2.74538,0.25473,0.0
-2.74538,0.28303,0.0
-2.74538,0.31133,0.0
-2.74538,0.33963,0.0
-2.74538,0.36794,0.0
-2.74538,0.39624,0.0
-2.74538,0.42454,0.0
-2.74538,0.45285,0.0
-2.74538,0.48115,0.0
-2.74538,0.50945,0.0
-2.74538,0.53776,0.0
-2.74538,0.56606,0.0
-2.74538,0.59436,0.0
-2.74538,0.62266,0.0
-2.74538,0.65097,0.0
-2.74538,0.67927,0.0
-2.74538,0.70757,0.0
-2.74538,0.73588,0.0
-2.74538,0.76418,0.0
